No.,服装,名前,じゃんけん,ポジション,高校,よみがな,スパイクrZs,サーブrZs,セッティングrZs,頭脳rZs,幸運rZs,ブロックrZs,レシーブrZs,バネrZs,スピードrZs,メンタルrZs,TotalStatrZs,AttackValrZs,ServeValrZs,TossValrZs,ReceiveValrZs,BlockValrZs
1,"ユニフォーム","日向翔陽","チョキ","MB","烏野","ひなたしょうよう","96.25283472","97.10932964","96.62755125","91.00680333","100","98.50113389","89.88265375","114.8387745","126.97959","93.2551025","96.79903169","96.9341375","93.2551025","96.62755125","112.1408155","103.5972787"
2,"制服","日向翔陽","チョキ","MB","烏野","ひなたしょうよう","98.50113389","98.07288643","100","92.50566944","100","100.7494331","93.2551025","118.885713","129.2278892","93.2551025","100","98.773655","94.4814475","100","114.8387745","106.2952377"
3,"夏祭り","日向翔陽","グー","MB","烏野","ひなたしょうよう","98.50113389","96.14577286","93.2551025","89.50793722","100","102.2482992","100","121.583672","129.2278892","93.2551025","100","98.773655","92.0287575","93.2551025","117.5367335","108.093877"
4,"1周年","日向翔陽","パー","MB","烏野","ひなたしょうよう","98.50113389","98.07288643","110.1173463","89.50793722","100","98.50113389","103.3724488","114.8387745","135.9727867","93.2551025","100.2286406","98.773655","93.2551025","110.1173463","122.9326515","103.5972787"
5,"王冠","日向翔陽","チョキ","MB","烏野","ひなたしょうよう","100.7494331","98.07288643","103.3724488","92.50566944","100","102.2482992","96.62755125","121.583672","131.4761883","93.2551025","102.2864059","100.6131725","94.4814475","103.3724488","117.5367335","108.093877"
6,"ジャージ","日向翔陽","グー","MB","烏野","ひなたしょうよう","100","98.07288643","103.3724488","92.50566944","100","102.2482992","103.3724488","120.2346925","133.7244875","93.2551025","102.5150465","100","94.4814475","103.3724488","121.583672","107.6442172"
7,"遊園地","日向翔陽","パー","MB","烏野","ひなたしょうよう","100","98.07288643","103.3724488","94.00453556","100","102.9977322","96.62755125","122.9326515","133.7244875","93.2551025","102.9723277","100","95.09462","103.3724488","118.885713","108.9931967"
17,"ユニフォーム","月島蛍","チョキ","MB","烏野","つきしまけい","97.00226778","97.10932964","96.62755125","108.9931967","100","101.4988661","96.62755125","97.302041","95.50340167","106.7448975","97.25631288","97.54731","100.6131725","96.62755125","95.9530615","99.5503402"
18,"水着","月島蛍","グー","MB","烏野","つきしまけい","99.25056694","98.07288643","100","110.4920628","100","103.7471653","100","101.3489795","97.75170083","106.7448975","100.4572812","99.3868275","101.8395175","100","98.6510205","102.2482992"
19,"職業体験","月島蛍","パー","MB","烏野","つきしまけい","101.4988661","100","100","111.9909289","100","102.2482992","93.2551025","100","95.50340167","106.7448975","100.4572812","101.226345","103.679035","100","94.604082","100.8993197"
20,"1周年","月島蛍","パー","MB","烏野","つきしまけい","100.7494331","96.14577286","100","107.4943306","100","105.9954644","89.88265375","105.395918","97.75170083","106.7448975","100.6859218","100.6131725","99.3868275","100","94.604082","104.9462582"
21,"花火","月島蛍","グー","MB","烏野","つきしまけい","100.7494331","98.07288643","103.3724488","110.4920628","100","105.9954644","103.3724488","104.0469385","100","106.7448975","102.7436871","100.6131725","101.8395175","103.3724488","101.3489795","104.4965983"
