No.,服装,名前,じゃんけん,ポジション,高校,よみがな,スパイクrZs,サーブrZs,セッティングrZs,頭脳rZs,幸運rZs,ブロックrZs,レシーブrZs,バネrZs,スピードrZs,メンタルrZs,TotalStatrZs,AttackValrZs,ServeValrZs,TossValrZs,ReceiveValrZs,BlockValrZs
8,"ユニフォーム","影山飛雄","チョキ","S","烏野","かげやまとびお","104.4965983","100.9635568","100","95.6832656","100","97.75170083","104.1507062","97.75170083","94.37925208","93.2551025","96.4926533","104.8177839","98.25132287","100","97.302041","95.9530615"
9,"制服","影山飛雄","チョキ","S","烏野","かげやまとびお","105.6207479","103.8542271","102.45269","98.9208164","100","100","106.2260592","100","96.62755125","93.2551025","100.2697959","105.7813407","101.2490551","102.45269","100","98.6510205"
10,"夏祭り","影山飛雄","グー","S","烏野","かげやまとびお","103.3724488","105.7813407","102.45269","101.0791836","100","95.50340167","110.3767654","95.50340167","96.62755125","93.2551025","100.2697959","103.8542271","103.2475432","102.45269","102.697959","93.2551025"
11,"Xmas","影山飛雄","パー","S","烏野","かげやまとびお","106.7448975","105.7813407","104.90538","101.0791836","100","102.2482992","106.2260592","102.2482992","96.62755125","93.2551025","102.9677549","106.7448975","103.2475432","104.90538","100","101.3489795"
12,"1周年","影山飛雄","チョキ","S","烏野","かげやまとびお","108.9931967","104.8177839","104.0878167","100","100","104.4965983","106.2260592","102.2482992","96.62755125","93.2551025","102.9677549","108.6720111","102.2482992","104.0878167","100","102.697959"
13,"王冠","影山飛雄","グー","S","烏野","かげやまとびお","106.7448975","106.7448975","103.2702533","98.9208164","100","100","112.4521185","102.2482992","101.1241496","93.2551025","103.2375508","106.7448975","102.7479212","103.2702533","106.7448975","100"
14,"ジャージ","影山飛雄","パー","S","烏野","かげやまとびお","107.8690471","107.7084543","106.5405067","102.1583672","100","104.4965983","108.3014123","104.4965983","98.87585042","93.2551025","105.6657139","107.7084543","104.7464094","106.5405067","102.697959","104.0469385"
15,"2周年","影山飛雄","チョキ","S","烏野","かげやまとびお","107.8690471","107.7084543","105.7229433","103.2375508","100","104.4965983","110.3767654","104.4965983","101.1241496","93.2551025","106.2053057","107.7084543","105.2460314","105.7229433","105.395918","104.0469385"
16,"中学生","影山飛雄","グー","S","烏野","かげやまとびお","110.1173463","106.7448975","105.7229433","102.1583672","100","106.7448975","108.3014123","106.7448975","98.87585042","93.2551025","106.2053057","109.6355679","104.2467873","105.7229433","102.697959","106.7448975"
45,"ユニフォーム","菅原考支","パー","S","烏野","すがわらこうし","95.50340167","93.2551025","95.91218333","95.6832656","100","100","95.84929385","97.75170083","94.37925208","113.489795","94.0644902","97.10932964","94.25434657","95.91218333","91.906123","97.302041"
46,"プール掃除","菅原考支","チョキ","S","烏野","すがわらこうし","96.62755125","96.14577286","98.36487333","98.9208164","100","102.2482992","97.92464692","100","96.62755125","113.489795","97.8416328","98.07288643","97.2520788","98.36487333","94.604082","100"
47,"文化祭","菅原考支","チョキ","S","烏野","すがわらこうし","95.50340167","98.07288643","97.54731","101.0791836","100","97.75170083","100","95.50340167","98.87585042","113.489795","97.8416328","97.10932964","99.25056694","97.54731","97.302041","94.604082"
48,"梅雨","菅原考支","パー","S","烏野","すがわらこうし","96.62755125","100","100","102.1583672","100","97.75170083","104.1507062","95.50340167","101.1241496","113.489795","100.5395918","98.07288643","100.7494331","100","101.3489795","94.604082"
49,"Xmas2","菅原考支","チョキ","S","烏野","すがわらこうし","98.87585042","98.07288643","98.36487333","101.0791836","100","102.2482992","102.0753531","100","101.1241496","113.489795","100.5395918","100","99.25056694","98.36487333","100","100"
61,"ユニフォーム","孤爪研磨","パー","S","音駒","こづめけんま","93.2551025","93.2551025","98.36487333","102.1583672","100","93.2551025","97.92464692","93.2551025","94.37925208","106.7448975","93.5248984","95.18221607","97.2520788","98.36487333","93.2551025","90.5571435"
62,"制服","孤爪研磨","パー","S","音駒","こづめけんま","94.37925208","96.14577286","100.8175633","105.395918","100","95.50340167","100","95.50340167","96.62755125","106.7448975","97.302041","96.14577286","100.249811","100.8175633","95.9530615","93.2551025"
63,"夏祭り","孤爪研磨","チョキ","S","音駒","こづめけんま","92.13095292","96.14577286","102.45269","105.395918","100","91.00680333","104.1507062","91.00680333","101.1241496","106.7448975","97.302041","94.21865929","100.249811","102.45269","101.3489795","87.8591845"
64,"1周年","孤爪研磨","グー","S","音駒","こづめけんま","95.50340167","98.07288643","103.2702533","107.5542852","100","97.75170083","100","97.75170083","96.62755125","106.7448975","100","97.10932964","102.2482992","103.2702533","95.9530615","95.9530615"
65,"スパイ","孤爪研磨","パー","S","音駒","こづめけんま","95.50340167","99.03644321","101.6351267","107.5542852","100","95.50340167","104.1507062","95.50340167","101.1241496","106.7448975","100.2697959","97.10932964","102.7479212","101.6351267","101.3489795","93.2551025"
66,"Xmas2","孤爪研磨","チョキ","S","音駒","こづめけんま","96.62755125","100","104.90538","108.6334688","100","100","102.0753531","100","98.87585042","106.7448975","102.697959","98.07288643","103.7471653","104.90538","98.6510205","98.6510205"
67,"中学生","孤爪研磨","グー","S","音駒","こづめけんま","96.62755125","99.03644321","104.0878167","108.6334688","100","102.2482992","104.1507062","102.2482992","98.87585042","106.7448975","102.9677549","98.07288643","103.2475432","104.0878167","100","101.3489795"
