No,eda,No用,大分類,属性,色,パワー,補正,強化,強化補正,オートアクティブ,その他補正項目,その他補正値,スキル名
11,3,"ユニフォーム影山飛雄ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
12,3,"制服影山飛雄ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
13,3,"夏祭り影山飛雄ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
14,3,"Xmas影山飛雄ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
15,3,"1周年影山飛雄ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
16,3,"王冠影山飛雄ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
17,3,"ジャージ影山飛雄ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
18,3,"2周年影山飛雄ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
19,3,"中学生影山飛雄ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
20,3,"文化祭3影山飛雄ICONIC","ブロック","ツーアタック防御","銅",31,0,0,0,"","","",""
31,3,"ユニフォーム山口忠ICONIC","ブロック","ツーアタック防御","銅",21,0,0,0,"","","",""
32,3,"水着山口忠ICONIC","ブロック","ツーアタック防御","銅",21,0,0,0,"","","",""
33,3,"雪遊び山口忠ICONIC","ブロック","ツーアタック防御","銅",21,0,0,0,"","","",""
34,3,"スパイ山口忠ICONIC","ブロック","ツーアタック防御","銅",21,0,0,0,"","","",""
35,3,"ジャージ山口忠ICONIC","ブロック","ツーアタック防御","銅",21,0,0,0,"","","",""
36,3,"焼き芋山口忠ICONIC","ブロック","ツーアタック防御","銅",21,0,0,0,"","","",""
62,3,"ユニフォーム東峰旭ICONIC","ブロック","ツーアタック防御","銅",22,0,0,0,"","","",""
63,3,"プール掃除東峰旭ICONIC","ブロック","ツーアタック防御","銅",20,0,0,0,"","","",""
64,3,"サバゲ東峰旭ICONIC","ブロック","ツーアタック防御","銅",22,0,0,0,"","","",""
65,3,"夏祭り2東峰旭ICONIC","ブロック","ツーアタック防御","銅",30,0,0,0,"","","",""
66,3,"和装体験東峰旭ICONIC","ブロック","ツーアタック防御","銅",22,0,0,0,"","","",""
67,3,"ユニフォーム東峰旭YELL","ブロック","ツーアタック防御","銅",22,0,0,0,"","","",""
72,3,"ユニフォーム木下久志ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
73,3,"妖木下久志ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
75,3,"ユニフォーム孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
76,3,"制服孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
77,3,"夏祭り孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
78,3,"1周年孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
79,3,"スパイ孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
80,3,"Xmas2孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
81,3,"中学生孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
82,3,"ハロウィン孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
83,3,"寝正月孤爪研磨ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
104,3,"ユニフォーム福永招平ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
105,3,"バーガー福永招平ICONIC","ブロック","ツーアタック防御","銅",24,0,0,0,"","","",""
117,3,"ユニフォーム手白球彦ICONIC","ブロック","ツーアタック防御","銅",25,0,0,0,"","","",""
143,3,"ユニフォーム茂庭要ICONIC","ブロック","ツーアタック防御","銅",29,0,0,0,"","","",""
