No,eda,No用,大分類,属性,色,パワー,補正,強化,強化補正,オートアクティブ,その他補正項目,その他補正値,スキル名
120,5,"ユニフォーム手白球彦ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
148,5,"ユニフォーム鎌先靖志ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
149,5,"甲冑鎌先靖志ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
150,5,"ユニフォーム笹谷武仁ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
160,5,"ユニフォーム岩泉一ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
161,5,"プール掃除岩泉一ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
163,5,"サバゲ岩泉一ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
164,5,"バカンス岩泉一ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
165,5,"路地裏2岩泉一ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
166,5,"夏祭り2岩泉一ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
167,5,"Xmas3岩泉一ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
168,5,"ユニフォーム金田一勇太郎ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
169,5,"雪遊び金田一勇太郎ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
170,5,"カンフー金田一勇太郎ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
171,5,"中学生金田一勇太郎ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
172,5,"ユニフォーム京谷賢太郎ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
173,5,"梅雨京谷賢太郎ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
174,5,"水着2京谷賢太郎ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
186,5,"ユニフォーム花巻貴大ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
188,5,"バーガー花巻貴大ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
189,5,"妖花巻貴大ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
190,5,"焼き芋花巻貴大ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
191,5,"ユニフォーム矢巾秀ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
192,5,"キャンプ矢巾秀ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
198,5,"ユニフォーム渋谷陸斗ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
199,5,"ユニフォーム池尻隼人ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
200,5,"文化祭2池尻隼人ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
201,5,"遊園地池尻隼人ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
202,5,"ユニフォーム十和田良樹ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
203,5,"ユニフォーム森岳歩ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
204,5,"ユニフォーム唐松拓巳ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
205,5,"ユニフォーム田沢裕樹ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
224,5,"妖照島游児ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
236,5,"ユニフォーム花山一雅ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
237,5,"ユニフォーム鳴子哲平ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
243,5,"ユニフォーム牛島若利ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
244,5,"水着牛島若利ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
245,5,"新年牛島若利ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
246,5,"制服牛島若利ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
247,5,"文化祭2牛島若利ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
248,5,"妖牛島若利ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
249,5,"ハロウィン牛島若利ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
276,5,"ユニフォーム瀬見英太ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
277,5,"雪遊び瀬見英太ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
278,5,"バカンス瀬見英太ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
279,5,"アート2瀬見英太ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
283,5,"ユニフォーム強羅昌己ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
284,5,"ユニフォーム芦谷洋平ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
285,5,"ユニフォーム仙石伸吾ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
288,5,"ユニフォーム伊勢原裕次ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
289,5,"ユニフォーム湯河浩二ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
290,5,"ユニフォーム千鹿谷栄吉ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
291,5,"ユニフォーム小鹿野大樹ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
293,5,"ユニフォーム児玉勝ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
294,5,"ユニフォーム名栗翔太ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
295,5,"ユニフォーム島府典明ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
296,5,"ユニフォーム吉川和孝ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
305,5,"ユニフォーム宮治ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
306,5,"RPG宮治ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
308,5,"遊園地宮治ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
309,5,"夏祭り2宮治ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
311,5,"3周年宮治ICONIC","レシーブ","ラインアウト","銅",13,0,0,0,"","","",""
