No,eda,No用,大分類,属性,色,パワー,補正,強化,強化補正,オートアクティブ,その他補正項目,その他補正値,スキル名
1,1,"ユニフォーム日向翔陽ICONIC","サーブ","オーバーサーブ","銅",21,0,0,0,"","","",""
2,1,"制服日向翔陽ICONIC","サーブ","オーバーサーブ","銅",21,0,0,0,"","","",""
3,1,"夏祭り日向翔陽ICONIC","サーブ","オーバーサーブ","銅",21,0,0,0,"","","",""
4,1,"1周年日向翔陽ICONIC","サーブ","オーバーサーブ","銅",21,0,0,0,"","","",""
5,1,"王冠日向翔陽ICONIC","サーブ","オーバーサーブ","銅",21,0,0,0,"","","",""
6,1,"ジャージ日向翔陽ICONIC","サーブ","オーバーサーブ","銅",21,0,0,0,"","","",""
7,1,"遊園地日向翔陽ICONIC","サーブ","オーバーサーブ","銅",21,0,0,0,"","","",""
8,1,"ハロウィン日向翔陽ICONIC","サーブ","オーバーサーブ","銅",21,0,0,0,"","","",""
41,1,"ユニフォーム田中龍之介ICONIC","サーブ","オーバーサーブ","銅",22,0,0,0,"","","",""
42,1,"制服田中龍之介ICONIC","サーブ","オーバーサーブ","銅",22,0,0,0,"","","",""
43,1,"新年田中龍之介ICONIC","サーブ","オーバーサーブ","銅",22,0,0,0,"","","",""
44,1,"RPG田中龍之介ICONIC","サーブ","オーバーサーブ","銅",22,0,0,0,"","","",""
45,1,"仮装田中龍之介ICONIC","サーブ","オーバーサーブ","銅",22,0,0,0,"","","",""
46,1,"Xmas3田中龍之介ICONIC","サーブ","オーバーサーブ","銅",22,0,0,0,"","","",""
47,1,"ユニフォーム澤村大地ICONIC","サーブ","オーバーサーブ","銅",24,0,0,0,"","","",""
48,1,"プール掃除澤村大地ICONIC","サーブ","オーバーサーブ","銅",24,0,0,0,"","","",""
49,1,"文化祭澤村大地ICONIC","サーブ","オーバーサーブ","銅",24,0,0,0,"","","",""
51,1,"新年2澤村大地ICONIC","サーブ","オーバーサーブ","銅",24,0,0,0,"","","",""
53,1,"ユニフォーム菅原考支ICONIC","サーブ","オーバーサーブ","銅",24,0,0,0,"","","",""
56,1,"梅雨菅原考支ICONIC","サーブ","オーバーサーブ","銅",24,0,0,0,"","","",""
57,1,"Xmas2菅原考支ICONIC","サーブ","オーバーサーブ","銅",24,0,0,0,"","","",""
58,1,"夏祭り2菅原考支ICONIC","サーブ","オーバーサーブ","銅",24,0,0,0,"","","",""
64,1,"ユニフォーム縁下力ICONIC","サーブ","オーバーサーブ","銅",22,0,0,0,"","","",""
65,1,"探偵縁下力ICONIC","サーブ","オーバーサーブ","銅",22,0,0,0,"","","",""
67,1,"花火縁下力ICONIC","サーブ","オーバーサーブ","銅",22,0,0,0,"","","",""
70,1,"ユニフォーム成田一仁ICONIC","サーブ","オーバーサーブ","銅",21,0,0,0,"","","",""
88,1,"ユニフォーム灰羽リエーフICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
89,1,"探偵灰羽リエーフICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
90,1,"路地裏灰羽リエーフICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
91,1,"文化祭2灰羽リエーフICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
92,1,"サバゲ2灰羽リエーフICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
126,1,"ユニフォーム黄金川貫至ICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
127,1,"制服黄金川貫至ICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
128,1,"職業体験黄金川貫至ICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
129,1,"スパイ黄金川貫至ICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
130,1,"焼き芋黄金川貫至ICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
136,1,"ユニフォーム吹上仁悟ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
140,1,"ユニフォーム笹谷武仁ICONIC","サーブ","オーバーサーブ","銅",27,0,0,0,"","","",""
157,1,"ユニフォーム金田一勇太郎ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
158,1,"雪遊び金田一勇太郎ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
160,1,"中学生金田一勇太郎ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
170,1,"ユニフォーム松川一静ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
171,1,"アート松川一静ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
173,1,"焼き芋松川一静ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
181,1,"ユニフォーム駒木輝ICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
186,1,"ユニフォーム渋谷陸斗ICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
190,1,"ユニフォーム十和田良樹ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
191,1,"ユニフォーム森岳歩ICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
192,1,"ユニフォーム唐松拓巳ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
198,1,"ユニフォーム秋宮昇ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
199,1,"ユニフォーム古牧譲ICONIC","サーブ","オーバーサーブ","銅",28,0,0,0,"","","",""
201,1,"ユニフォーム浅虫快人ICONIC","サーブ","オーバーサーブ","銅",27,0,0,0,"","","",""
203,1,"ユニフォーム湯川良明ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
205,1,"ユニフォーム馬門英治ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
206,1,"ユニフォーム百沢雄大ICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
207,1,"職業体験百沢雄大ICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
215,1,"ユニフォーム二岐丈晴ICONIC","サーブ","オーバーサーブ","銅",28,0,0,0,"","","",""
217,1,"ユニフォーム沼尻凛太郎ICONIC","サーブ","オーバーサーブ","銅",27,0,0,0,"","","",""
218,1,"ユニフォーム飯坂信義ICONIC","サーブ","オーバーサーブ","銅",26,0,0,0,"","","",""
223,1,"ユニフォーム白石優希ICONIC","サーブ","オーバーサーブ","銅",25,0,0,0,"","","",""
227,1,"ユニフォーム松島剛ICONIC","サーブ","オーバーサーブ","銅",24,0,0,0,"","","",""
228,1,"妖松島剛ICONIC","サーブ","オーバーサーブ","銅",24,0,0,0,"","","",""
