No.,服装,名前,じゃんけん,ポジション,高校,よみがな,スパイクrZs,サーブrZs,セッティングrZs,頭脳rZs,幸運rZs,ブロックrZs,レシーブrZs,バネrZs,スピードrZs,メンタルrZs,TotalStatrZs,AttackValrZs,ServeValrZs,TossValrZs,ReceiveValrZs,BlockValrZs
33,"ユニフォーム","西谷夕","チョキ","Li","烏野","にしのやゆう","102.9977322","100","103.1130296","102.2482992","100","100","102.3460513","91.00680333","101.226345","92.73626423","99.7674173","104.0469385","101.6862244","103.1130296","101.190276","86.510205"
34,"制服","西谷夕","グー","Li","烏野","にしのやゆう","104.4965983","106.7448975","106.2260592","104.4965983","100","106.7448975","104.1055898","95.50340167","104.90538","92.73626423","103.0235747","105.395918","105.0586731","106.2260592","103.5708281","95.50340167"
35,"Xmas","西谷夕","グー","Li","烏野","にしのやゆう","105.9954644","106.7448975","108.3014123","106.7448975","100","106.7448975","105.8651283","100","107.35807","92.73626423","105.3494015","106.7448975","106.7448975","108.3014123","105.5546215","100"
36,"バーガー","西谷夕","パー","Li","烏野","にしのやゆう","102.9977322","106.7448975","110.3767654","102.2482992","100","106.7448975","106.4516411","91.00680333","109.81076","92.73626423","105.1168188","104.0469385","103.3724488","110.3767654","106.7448975","91.00680333"
37,"文化祭2","西谷夕","チョキ","Li","烏野","にしのやゆう","107.4943306","113.489795","109.3390888","108.9931967","100","113.489795","107.0381539","104.4965983","109.81076","92.73626423","107.6752282","108.093877","110.1173463","109.3390888","107.1416562","108.9931967"
38,"2周年","西谷夕","グー","Li","烏野","にしのやゆう","105.9954644","113.489795","110.3767654","108.9931967","100","113.489795","107.6246667","104.4965983","109.81076","92.73626423","107.9078109","106.7448975","110.1173463","110.3767654","107.5384149","108.9931967"
39,"ハロウィン","西谷夕","パー","Li","烏野","にしのやゆう","108.9931967","120.2346925","110.3767654","111.2414958","100","120.2346925","108.2111796","108.9931967","112.26345","92.73626423","110.0010549","109.4428565","113.489795","110.3767654","108.7286909","117.9863933"
89,"ユニフォーム","夜久衛輔","パー","Li","音駒","やくもりすけ","104.4965983","106.7448975","98.96232346","104.4965983","100","100","102.3460513","91.00680333","100","100","100.9303307","105.395918","105.0586731","98.96232346","100.7935174","86.510205"
90,"1周年","夜久衛輔","チョキ","Li","音駒","やくもりすけ","105.9954644","113.489795","102.0753531","106.7448975","100","106.7448975","104.1055898","95.50340167","103.679035","100","104.1864881","106.7448975","108.4311219","102.0753531","103.1740694","95.50340167"
91,"花火","夜久衛輔","グー","Li","音駒","やくもりすけ","102.9977322","100","103.1130296","104.4965983","100","106.7448975","105.8651283","95.50340167","106.131725","100","104.4190708","104.0469385","103.3724488","103.1130296","105.1578628","95.50340167"
92,"2周年","夜久衛輔","パー","Li","音駒","やくもりすけ","107.4943306","120.2346925","103.1130296","108.9931967","100","113.489795","105.2786154","100","106.131725","100","106.5123148","108.093877","111.8035706","103.1130296","104.7611041","104.4965983"
93,"水着2","夜久衛輔","チョキ","Li","音駒","やくもりすけ","105.9954644","120.2346925","104.1507062","108.9931967","100","113.489795","105.8651283","100","106.131725","100","106.7448975","106.7448975","111.8035706","104.1507062","105.1578628","104.4965983"
101,"ユニフォーム","芝山優生","パー","Li","音駒","しばやまゆうき","100","100","95.84929385","95.50340167","80","100","98.24046152","104.4965983","97.54731","96.88697038","95.34834655","95.9530615","89.88265375","95.84929385","97.22268926","100"
102,"焼き芋","芝山優生","チョキ","Li","音駒","しばやまゆうき","101.4988661","106.7448975","98.96232346","97.75170083","80","106.7448975","100","108.9931967","101.226345","96.88697038","98.60450397","97.302041","93.2551025","98.96232346","99.6032413","108.9931967"
127,"ユニフォーム","作並浩輔","グー","Li","伊達工","さくなみこうすけ","97.00226778","100","94.81161731","97.75170083","100","100","98.82697435","104.4965983","97.54731","100","96.74384259","98.6510205","98.31377563","94.81161731","97.61944794","100"
