No.,服装,名前,じゃんけん,ポジション,高校,よみがな,スパイクrZs,サーブrZs,セッティングrZs,頭脳rZs,幸運rZs,ブロックrZs,レシーブrZs,バネrZs,スピードrZs,メンタルrZs,TotalStatrZs,AttackValrZs,ServeValrZs,TossValrZs,ReceiveValrZs,BlockValrZs
8,"ユニフォーム","影山飛雄","チョキ","S","烏野","かげやまとびお","104.4965983","100.9635568","99.15688781","96.14577286","100","97.75170083","101.6862244","97.75170083","93.2551025","93.2551025","96.34651385","104.8177839","97.92464692","99.15688781","97.302041","95.9530615"
9,"制服","影山飛雄","チョキ","S","烏野","かげやまとびお","105.6207479","103.8542271","101.6862244","99.03644321","100","100","103.3724488","100","95.50340167","93.2551025","100.2810374","105.7813407","101.0376765","101.6862244","100","98.6510205"
10,"夏祭り","影山飛雄","グー","S","烏野","かげやまとびお","103.3724488","105.7813407","101.6862244","100.9635568","100","95.50340167","106.7448975","95.50340167","95.50340167","93.2551025","100.2810374","103.8542271","103.1130296","101.6862244","102.697959","93.2551025"
11,"Xmas","影山飛雄","パー","S","烏野","かげやまとびお","106.7448975","105.7813407","104.2155609","100.9635568","100","102.2482992","103.3724488","102.2482992","95.50340167","93.2551025","103.0914114","106.7448975","103.1130296","104.2155609","100","101.3489795"
12,"1周年","影山飛雄","チョキ","S","烏野","かげやまとびお","108.9931967","104.8177839","103.3724488","100","100","104.4965983","103.3724488","102.2482992","95.50340167","93.2551025","103.0914114","108.6720111","102.0753531","103.3724488","100","102.697959"
13,"王冠","影山飛雄","グー","S","烏野","かげやまとびお","106.7448975","106.7448975","102.5293366","99.03644321","100","100","108.4311219","102.2482992","100","93.2551025","103.3724488","106.7448975","102.5941913","102.5293366","106.7448975","100"
14,"ジャージ","影山飛雄","パー","S","烏野","かげやまとびお","107.8690471","107.7084543","105.9017853","101.9271136","100","104.4965983","105.0586731","104.4965983","97.75170083","93.2551025","105.9017853","107.7084543","104.6695444","105.9017853","102.697959","104.0469385"
15,"2周年","影山飛雄","チョキ","S","烏野","かげやまとびお","107.8690471","107.7084543","105.0586731","102.8906704","100","104.4965983","106.7448975","104.4965983","100","93.2551025","106.4638601","107.7084543","105.1883827","105.0586731","105.395918","104.0469385"
16,"中学生","影山飛雄","グー","S","烏野","かげやまとびお","110.1173463","106.7448975","105.0586731","101.9271136","100","106.7448975","105.0586731","106.7448975","97.75170083","93.2551025","106.4638601","109.6355679","104.1507062","105.0586731","102.697959","106.7448975"
48,"ユニフォーム","菅原考支","パー","S","烏野","すがわらこうし","95.50340167","93.2551025","94.94132688","96.14577286","100","100","94.94132688","97.75170083","93.2551025","113.489795","93.81717729","97.10932964","93.77394077","94.94132688","91.906123","97.302041"
49,"プール掃除","菅原考支","チョキ","S","烏野","すがわらこうし","96.62755125","96.14577286","97.47066344","99.03644321","100","102.2482992","96.62755125","100","95.50340167","113.489795","97.75170083","98.07288643","96.88697038","97.47066344","94.604082","100"
50,"文化祭","菅原考支","チョキ","S","烏野","すがわらこうし","95.50340167","98.07288643","96.62755125","100.9635568","100","97.75170083","98.31377563","95.50340167","97.75170083","113.489795","97.75170083","97.10932964","98.96232346","96.62755125","97.302041","94.604082"
51,"梅雨","菅原考支","パー","S","烏野","すがわらこうし","96.62755125","100","99.15688781","101.9271136","100","97.75170083","101.6862244","95.50340167","100","113.489795","100.5620748","98.07288643","100.5188383","99.15688781","101.3489795","94.604082"
52,"Xmas2","菅原考支","チョキ","S","烏野","すがわらこうし","98.87585042","98.07288643","97.47066344","100.9635568","100","102.2482992","100","100","100","113.489795","100.5620748","100","98.96232346","97.47066344","100","100"
53,"夏祭り2","菅原考支","グー","S","烏野","すがわらこうし","94.37925208","96.14577286","100","100","100","97.75170083","100","95.50340167","100","113.489795","98.31377563","96.14577286","97.40580865","100","100","94.604082"
66,"ユニフォーム","孤爪研磨","パー","S","音駒","こづめけんま","93.2551025","93.2551025","97.47066344","101.9271136","100","93.2551025","96.62755125","93.2551025","93.2551025","106.7448975","93.2551025","95.18221607","96.88697038","97.47066344","93.2551025","90.5571435"
67,"制服","孤爪研磨","パー","S","音駒","こづめけんま","94.37925208","96.14577286","100","104.8177839","100","95.50340167","98.31377563","95.50340167","95.50340167","106.7448975","97.18962604","96.14577286","100","100","95.9530615","93.2551025"
68,"夏祭り","孤爪研磨","チョキ","S","音駒","こづめけんま","92.13095292","96.14577286","101.6862244","104.8177839","100","91.00680333","101.6862244","91.00680333","100","106.7448975","97.18962604","94.21865929","100","101.6862244","101.3489795","87.8591845"
69,"1周年","孤爪研磨","グー","S","音駒","こづめけんま","95.50340167","98.07288643","102.5293366","106.7448975","100","97.75170083","98.31377563","97.75170083","95.50340167","106.7448975","100","97.10932964","102.0753531","102.5293366","95.9530615","95.9530615"
70,"スパイ","孤爪研磨","パー","S","音駒","こづめけんま","95.50340167","99.03644321","100.8431122","106.7448975","100","95.50340167","101.6862244","95.50340167","100","106.7448975","100.2810374","97.10932964","102.5941913","100.8431122","101.3489795","93.2551025"
71,"Xmas2","孤爪研磨","チョキ","S","音駒","こづめけんま","96.62755125","100","104.2155609","107.7084543","100","100","100","100","97.75170083","106.7448975","102.810374","98.07288643","103.6318679","104.2155609","98.6510205","98.6510205"
72,"中学生","孤爪研磨","グー","S","音駒","こづめけんま","96.62755125","99.03644321","103.3724488","107.7084543","100","102.2482992","101.6862244","102.2482992","97.75170083","106.7448975","103.0914114","98.07288643","103.1130296","103.3724488","100","101.3489795"
102,"ユニフォーム","手白球彦","パー","S","音駒","てしろたまひこ","93.2551025","98.07288643","91.56887813","94.21865929","80","93.2551025","94.94132688","95.50340167","97.75170083","93.2551025","87.07227979","91.32798893","93.2551025","91.56887813","94.604082","91.906123"
115,"ユニフォーム","黄金川貫至","グー","S","伊達工","こがねがわかんじ","100","96.14577286","94.09821469","94.21865929","80","124.7312908","94.94132688","100","95.50340167","90.5571435","92.69302771","97.10932964","92.21742596","94.09821469","93.2551025","113.489795"
116,"制服","黄金川貫至","グー","S","伊達工","こがねがわかんじ","101.1241496","99.03644321","96.62755125","97.10932964","80","126.97959","96.62755125","102.2482992","97.75170083","90.5571435","96.62755125","98.07288643","95.33045558","96.62755125","95.9530615","116.187754"
117,"職業体験","黄金川貫至","パー","S","伊達工","こがねがわかんじ","103.3724488","100.9635568","96.62755125","99.03644321","80","122.4829917","93.2551025","100","95.50340167","90.5571435","96.62755125","100","97.40580865","96.62755125","91.906123","112.1408155"
118,"スパイ","黄金川貫至","チョキ","S","伊達工","こがねがわかんじ","102.2482992","99.03644321","98.31377563","97.10932964","80","133.7244875","98.31377563","106.7448975","97.75170083","90.5571435","99.15688781","99.03644321","95.33045558","98.31377563","97.302041","122.9326515"
119,"焼き芋","黄金川貫至","グー","S","伊達工","こがねがわかんじ","102.2482992","100.9635568","100","98.07288643","80","126.97959","100","102.2482992","100","90.5571435","99.7189626","99.03644321","96.88697038","100","100","116.187754"
126,"ユニフォーム","茂庭要","グー","S","伊達工","もにわかなめ","95.50340167","94.21865929","92.41199031","93.2551025","80","104.4965983","96.62755125","100","100","100","90.44472854","93.2551025","90.66091115","92.41199031","97.302041","101.3489795"
130,"ユニフォーム","及川徹","グー","S","青城","おいかわとおる","108.9931967","104.8177839","99.15688781","100","100","95.50340167","93.2551025","97.75170083","93.2551025","100","99.43792521","108.6720111","102.0753531","99.15688781","90.5571435","94.604082"
131,"プール掃除","及川徹","パー","S","青城","おいかわとおる","110.1173463","107.7084543","101.6862244","102.8906704","100","97.75170083","94.94132688","100","95.50340167","100","103.3724488","109.6355679","105.1883827","101.6862244","93.2551025","97.302041"
132,"Xmas","及川徹","チョキ","S","青城","おいかわとおる","112.3656454","104.8177839","104.2155609","100","100","104.4965983","91.56887813","106.7448975","91.00680333","100","103.6534861","111.5626814","102.0753531","104.2155609","87.8591845","105.395918"
133,"制服","及川徹","グー","S","青城","おいかわとおる","113.489795","104.8177839","100.8431122","100","100","102.2482992","94.94132688","104.4965983","95.50340167","100","103.3724488","112.5262382","102.0753531","100.8431122","93.2551025","102.697959"
134,"路地裏","及川徹","パー","S","青城","おいかわとおる","111.2414958","110.5991246","103.3724488","104.8177839","100","97.75170083","96.62755125","100","97.75170083","100","106.1828227","110.5991246","107.782574","103.3724488","95.9530615","97.302041"
135,"バカンス","及川徹","チョキ","S","青城","おいかわとおる","111.2414958","107.7084543","104.2155609","102.8906704","100","102.2482992","98.31377563","104.4965983","97.75170083","100","106.4638601","110.5991246","105.1883827","104.2155609","97.302041","102.697959"
136,"2周年","及川徹","グー","S","青城","おいかわとおる","113.489795","107.7084543","102.5293366","103.8542271","100","97.75170083","100","104.4965983","100","100","106.7448975","112.5262382","105.707221","102.5293366","100","100"
137,"夏祭り2","及川徹","パー","S","青城","おいかわとおる","112.3656454","112.5262382","105.0586731","105.7813407","100","100","98.31377563","102.2482992","100","100","108.9931967","111.5626814","109.3390888","105.0586731","98.6510205","100"
167,"ユニフォーム","矢巾秀","グー","S","青城","やはばしげる","98.87585042","98.07288643","94.09821469","96.14577286","100","97.75170083","96.62755125","97.75170083","97.75170083","100","93.5361399","100","96.36813212","94.09821469","95.9530615","95.9530615"
168,"キャンプ","矢巾秀","パー","S","青城","やはばしげる","100","100.9635568","96.62755125","99.03644321","100","100","98.31377563","100","100","100","97.47066344","100.9635568","99.48116173","96.62755125","98.6510205","98.6510205"
173,"ユニフォーム","芳賀良治","パー","S","常波","はがよしはる","101.1241496","94.21865929","92.41199031","93.2551025","80","95.50340167","91.56887813","97.75170083","93.2551025","93.2551025","87.35331719","98.07288643","90.66091115","92.41199031","89.208164","94.604082"
185,"ユニフォーム","夏瀬伊吹","チョキ","S","扇南","なつせいぶき","97.75170083","93.2551025","91.56887813","93.2551025","80","102.2482992","91.56887813","100","95.50340167","93.2551025","87.35331719","95.18221607","90.14207288","91.56887813","90.5571435","100"
186,"ユニフォーム","秋宮昇","チョキ","S","扇南","あきみやのぼる","97.75170083","98.07288643","94.94132688","96.14577286","80","106.7448975","98.31377563","100","102.2482992","100","94.66028948","95.18221607","94.29277904","94.94132688","100","102.697959"
