No.,服装,名前,じゃんけん,ポジション,高校,よみがな,スパイクrZs,サーブrZs,セッティングrZs,頭脳rZs,幸運rZs,ブロックrZs,レシーブrZs,バネrZs,スピードrZs,メンタルrZs,TotalStatrZs,AttackValrZs,ServeValrZs,TossValrZs,ReceiveValrZs,BlockValrZs
48,"ユニフォーム","田中龍之介","パー","WS","烏野","たなかりゅうのすけ","99.25056694","96.14577286","95.50340167","88.19642938","93.2551025","97.302041","98.6510205","94.37925208","93.2551025","93.92959225","93.08648006","97.302041","92.13095292","95.50340167","96.25283472","94.604082"
49,"制服","田中龍之介","チョキ","WS","烏野","たなかりゅうのすけ","101.4988661","99.03644321","97.75170083","89.88265375","93.2551025","98.6510205","100","97.75170083","94.604082","93.92959225","95.44719419","99.32551025","94.37925208","97.75170083","97.75170083","97.302041"
50,"新年","田中龍之介","グー","WS","烏野","たなかりゅうのすけ","103.7471653","96.14577286","97.75170083","84.82398063","93.2551025","100","100","100","94.604082","93.92959225","95.44719419","101.3489795","91.00680333","97.75170083","97.75170083","99.32551025"
51,"RPG","田中龍之介","パー","WS","烏野","たなかりゅうのすけ","100.7494331","97.10932964","95.50340167","86.510205","93.2551025","102.697959","102.697959","98.87585042","95.9530615","93.92959225","95.61581663","98.6510205","92.13095292","95.50340167","100","100"
52,"仮装","田中龍之介","パー","WS","烏野","たなかりゅうのすけ","103.7471653","99.03644321","100","89.88265375","93.2551025","101.3489795","101.3489795","100","95.9530615","93.92959225","97.13341856","101.3489795","94.37925208","100","99.25056694","100"
53,"Xmas3","田中龍之介","グー","WS","烏野","たなかりゅうのすけ","102.2482992","99.03644321","97.75170083","89.88265375","93.2551025","102.697959","102.697959","101.1241496","97.302041","93.92959225","97.302041","100","94.37925208","97.75170083","100.7494331","101.3489795"
54,"ユニフォーム","澤村大地","チョキ","WS","烏野","さわむらだいち","94.00453556","95.18221607","102.2482992","103.3724488","100","97.302041","110.791836","94.37925208","100","110.1173463","100.8431122","95.27857175","98.87585042","102.2482992","106.7448975","94.604082"
55,"プール掃除","澤村大地","グー","WS","烏野","さわむらだいち","96.25283472","98.07288643","104.4965983","105.0586731","100","98.6510205","112.1408155","97.75170083","101.3489795","110.1173463","103.2038263","97.302041","101.1241496","104.4965983","108.2437636","97.302041"
56,"文化祭","澤村大地","パー","WS","烏野","さわむらだいち","97.75170083","96.14577286","104.4965983","101.6862244","100","100","112.1408155","98.87585042","101.3489795","110.1173463","103.2038263","98.6510205","98.87585042","104.4965983","108.2437636","98.6510205"
57,"RPG","澤村大地","チョキ","WS","烏野","さわむらだいち","94.75396861","100.9635568","102.2482992","108.4311219","100","95.9530615","113.489795","96.62755125","102.697959","110.1173463","103.3724488","95.9530615","103.9345235","102.2482992","109.7426297","95.27857175"
58,"新年2","澤村大地","グー","WS","烏野","さわむらだいち","98.50113389","98.07288643","106.7448975","105.0586731","100","100","114.8387745","100","104.0469385","110.1173463","105.0586731","99.32551025","101.1241496","106.7448975","111.2414958","99.32551025"
59,"Xmas3","澤村大地","パー","WS","烏野","さわむらだいち","97.00226778","101.9271136","104.4965983","108.4311219","100","98.6510205","116.187754","98.87585042","102.697959","110.1173463","105.2272956","97.97653075","104.4965983","104.4965983","111.2414958","97.97653075"
66,"ユニフォーム","東峰旭","チョキ","WS","烏野","あずまねあさひ","100.7494331","103.8542271","95.50340167","98.31377563","93.2551025","104.0469385","95.9530615","94.37925208","91.906123","95.27857175","96.45892881","98.6510205","100","95.50340167","94.00453556","97.97653075"
67,"プール掃除","東峰旭","グー","WS","烏野","あずまねあさひ","98.50113389","102.8906704","88.75850417","96.62755125","93.2551025","100","91.906123","91.00680333","87.8591845","95.27857175","93.08648006","96.62755125","98.87585042","88.75850417","89.50793722","93.92959225"
68,"サバゲ","東峰旭","パー","WS","烏野","あずまねあさひ","105.2460314","103.8542271","97.75170083","94.94132688","93.2551025","106.7448975","97.302041","100","93.2551025","95.27857175","98.81964294","102.697959","98.87585042","97.75170083","95.50340167","102.697959"
69,"夏祭り2","東峰旭","チョキ","WS","烏野","あずまねあさひ","106.7448975","103.8542271","100","94.94132688","93.2551025","110.791836","98.6510205","102.2482992","94.604082","95.27857175","100.5058673","104.0469385","98.87585042","100","97.00226778","106.0704078"
70,"和装体験","東峰旭","グー","WS","烏野","あずまねあさひ","107.4943306","103.8542271","100","94.94132688","93.2551025","108.093877","100","102.2482992","95.9530615","95.27857175","100.6744898","104.7214283","98.87585042","100","98.50113389","104.7214283"
