No.,服装,名前,じゃんけん,ポジション,高校,よみがな,スパイクrZs,サーブrZs,セッティングrZs,頭脳rZs,幸運rZs,ブロックrZs,レシーブrZs,バネrZs,スピードrZs,メンタルrZs,TotalStatrZs,AttackValrZs,ServeValrZs,TossValrZs,ReceiveValrZs,BlockValrZs
1,"ユニフォーム","日向翔陽","チョキ","MB","烏野","ひなたしょうよう","95.50340167","94.09821469","97.00226778","89.88265375","93.2551025","105.6207479","93.2551025","114.8387745","115.6197626","93.2551025","96.17181493","95.09462","91.80976732","97.00226778","103.7471653","109.5041738"
8,"ユニフォーム","影山飛雄","チョキ","S","烏野","かげやまとびお","101.4988661","103.3724488","113.989417","102.0234693","100","96.62755125","104.0469385","95.9530615","95.74006474","96.62755125","100.9114726","102.45269","103.3724488","113.989417","99.25056694","96.01437875"
17,"ユニフォーム","月島蛍","チョキ","MB","烏野","つきしまけい","96.25283472","94.09821469","97.00226778","106.0704078","93.2551025","110.1173463","95.9530615","97.302041","95.74006474","100","96.53640399","95.7077925","97.59110804","97.00226778","94.75396861","103.9856213"
25,"ユニフォーム","山口忠","パー","MB","烏野","やまぐちだだし","94.75396861","103.3724488","102.9977322","97.97653075","93.2551025","100","101.3489795","94.604082","101.4199784","96.62755125","96.71869851","94.4814475","100","102.9977322","100.7494331","97.24072375"
30,"ユニフォーム","西谷夕","チョキ","Li","烏野","にしのやゆう","97.00226778","92.41199031","104.9962204","102.0234693","100","91.00680333","117.5367335","97.302041","107.0998921","95.27857175","97.9947602","98.773655","97.10932964","104.9962204","112.7403619","93.56168875"
36,"ユニフォーム","田中龍之介","パー","WS","烏野","たなかりゅうのすけ","102.9977322","98.31377563","98.00151185","89.88265375","93.2551025","97.75170083","100","95.9530615","95.74006474","93.92959225","93.80198608","101.226345","94.21865929","98.00151185","97.00226778","96.62755125"
41,"ユニフォーム","澤村大地","チョキ","WS","烏野","さわむらだいち","97.75170083","97.47066344","100.9992441","102.0234693","100","97.75170083","112.1408155","95.9530615","102.8399568","110.1173463","102.1875343","99.3868275","100","100.9992441","107.4943306","96.62755125"
46,"ユニフォーム","菅原考支","パー","S","烏野","すがわらこうし","95.50340167","96.62755125","108.9931967","102.0234693","100","97.75170083","98.6510205","95.9530615","95.74006474","106.7448975","99.27082189","97.54731","99.5182216","108.9931967","96.25283472","96.62755125"
51,"ユニフォーム","東峰旭","チョキ","WS","烏野","あずまねあさひ","104.4965983","105.0586731","98.00151185","97.97653075","93.2551025","103.3724488","97.302041","95.9530615","94.32008632","95.27857175","97.44787662","102.45269","100.9635568","98.00151185","94.75396861","99.6934138"
55,"ユニフォーム","縁下力","パー","WS","烏野","えんのしたちから","94.00453556","96.62755125","96.0030237","97.97653075","96.62755125","94.37925208","104.0469385","94.604082","94.32008632","103.3724488","94.53116419","95.09462","97.10932964","96.0030237","98.50113389","94.17486125"
59,"ユニフォーム","木下久志","パー","WS","烏野","きのしたひさし","97.00226778","102.5293366","98.00151185","93.92959225","100","96.62755125","97.302041","95.9530615","95.74006474","96.62755125","94.71345872","98.773655","100","98.00151185","95.50340167","96.01437875"
61,"ユニフォーム","成田一仁","パー","MB","烏野","なりたかずひと","94.00453556","97.47066344","97.00226778","102.0234693","100","101.1241496","94.604082","94.604082","94.32008632","96.62755125","93.80198608","96.320965","100","97.00226778","93.2551025","97.85389625"
62,"ユニフォーム","孤爪研磨","パー","S","音駒","こづめけんま","94.00453556","96.62755125","111.9909289","110.1173463","100","94.37925208","100","93.2551025","95.74006474","103.3724488","98.90623284","96.320965","102.408892","111.9909289","97.00226778","93.56168875"
69,"ユニフォーム","黒尾鉄朗","グー","MB","音駒","くろおてつろう","103.7471653","101.6862244","99.00075593","96.62755125","100","112.3656454","100","97.302041","95.74006474","100","100.7291781","104.2922075","100.4817784","99.00075593","97.00226778","105.2119663"
76,"ユニフォーム","灰羽リエーフ","グー","MB","音駒","はいばりえーふ","97.00226778","95.78443906","98.00151185","95.27857175","93.2551025","105.6207479","97.302041","95.9530615","95.74006474","93.92959225","93.43739703","96.320965","94.70043768","98.00151185","95.50340167","100.9197588"
80,"ユニフォーム","夜久衛輔","パー","Li","音駒","やくもりすけ","97.75170083","93.2551025","100.9992441","103.3724488","100","91.00680333","117.5367335","97.302041","105.6799137","100","98.90623284","99.3868275","98.07288643","100.9992441","111.9909289","93.56168875"
84,"ユニフォーム","福永招平","パー","WS","音駒","ふくながしょうへい","97.00226778","94.94132688","99.00075593","91.23163325","93.2551025","96.62755125","98.6510205","95.9530615","95.74006474","95.27857175","91.97904081","96.320965","92.77332411","99.00075593","96.25283472","96.01437875"
87,"ユニフォーム","犬岡走","パー","MB","音駒","いぬおかそう","95.50340167","95.78443906","98.00151185","95.27857175","93.2551025","103.3724488","97.302041","97.302041","95.74006474","100","94.53116419","95.09462","94.70043768","98.00151185","95.50340167","100.3065863"
