No.,服装,服装順.ID,攻撃力,守備力,DispName,Q_RZS.AttackVal,Q_RZS.ServeVal,Q_RZS.TossVal,Q_RZS.ReceiveVal,Q_RZS.BlockVal
234,"ユニフォーム","1",478,471,"中島猛ICO","99.37256767","99.5427188","97.75170083","99.25056694","98.85193234"
235,"スパイ","23",486,477,"スパイ中島猛ICO","101.2548647","101.3718436","98.87585042","100.7494331","101.1480677"
236,"ユニフォーム","1",465,459,"白石優希ICO","96.86283837","95.42718814","97.75170083","95.50340167","94.83369553"
237,"ユニフォーム","1",483,474,"花山一雅ICO","96.86283837","99.5427188","107.8690471","100","100"
238,"ユニフォーム","1",458,469,"鳴子哲平ICO","93.72567674","94.51262576","97.75170083","96.25283472","100"
239,"ユニフォーム","1",456,470,"秋保和光ICO","94.9805414","95.88446932","98.87585042","102.9977322","95.40772936"
240,"ユニフォーム","1",460,471,"松島剛ICO","93.72567674","95.42718814","97.75170083","97.75170083","100"
241,"妖","34",466,479,"妖松島剛ICO","95.60797372","96.34175051","98.87585042","99.25056694","103.444203"
242,"ユニフォーム","1",473,468,"川渡瞬己ICO","100.6274323","99.5427188","98.87585042","97.75170083","98.27789851"
243,"サバゲ2","38",482,477,"サバゲ2川渡瞬己ICO","103.1371616","101.3718436","100","100.7494331","101.1480677"
