No.,服装,服装順.ID,攻撃力,守備力,DispName,Q_RZS.AttackVal,Q_RZS.ServeVal,Q_RZS.TossVal,Q_RZS.ReceiveVal,Q_RZS.BlockVal
221,"ユニフォーム","1",479,467,"照島游児ICO","101.226345","101.8933046","98.87585042","98.50113389","97.18962604"
222,"制服","2",487,473,"制服照島游児ICO","103.0658625","103.7866091","100","100","99.43792521"
223,"雪遊び","12",484,476,"雪遊び照島游児ICO","104.90538","100.9466523","100","100","101.1241496"
224,"スパイ","23",493,477,"スパイ照島游児ICO","103.679035","106.1532398","100","102.2482992","100"
225,"妖","34",491,480,"妖照島游児ICO","104.90538","104.2599353","100","102.2482992","101.6862244"
226,"格ゲー","48",499,482,"格ゲー照島游児ICO","104.2922075","108.0465444","101.1241496","104.4965983","101.1241496"
227,"ユニフォーム","1",464,470,"母畑和馬ICO","95.7077925","96.21339088","96.62755125","96.25283472","100.5620748"
228,"アート2","37",470,478,"アート2母畑和馬ICO","97.54731","97.16004316","97.75170083","97.75170083","103.9345235"
229,"ユニフォーム","1",469,464,"二岐丈晴ICO","94.4814475","95.74006474","105.6207479","95.50340167","97.75170083"
230,"制服","2",479,468,"制服二岐丈晴ICO","95.09462","98.58002158","108.9931967","97.00226778","98.87585042"
231,"ユニフォーム","1",470,462,"沼尻凛太郎ICO","97.54731","97.16004316","97.75170083","95.50340167","96.62755125"
232,"ユニフォーム","1",461,469,"飯坂信義ICO","95.09462","94.79341246","97.75170083","96.25283472","100"
233,"ユニフォーム","1",469,470,"東山勝道ICO","96.320965","97.6333693","97.75170083","98.50113389","98.87585042"
234,"ユニフォーム","1",456,469,"土湯新ICO","95.09462","95.74006474","98.87585042","102.2482992","95.50340167"
