No.,服装,服装順.ID,攻撃力,守備力,DispName,Q_RZS.AttackVal,Q_RZS.ServeVal,Q_RZS.TossVal,Q_RZS.ReceiveVal,Q_RZS.BlockVal
1,"ユニフォーム","1",453,493,"日向翔陽ICO","94.35310907","92.22621983","96.62755125","102.9977322","108.6105074"
11,"ユニフォーム","1",498,465,"影山飛雄ICO","101.882297","103.2009683","115.7380942","98.50113389","95.98176319"
2,"制服","2",459,501,"制服日向翔陽ICO","96.23540605","93.1407822","97.75170083","104.4965983","112.0547104"
3,"夏祭り","5",453,507,"夏祭り日向翔陽ICO","96.23540605","91.31165746","95.50340167","105.9954644","114.3508457"
22,"ユニフォーム","1",466,472,"月島蛍ICO","94.9805414","97.71359407","96.62755125","94.00453556","103.444203"
4,"1周年","13",460,501,"1周年日向翔陽ICO","96.23540605","92.22621983","101.1241496","108.9931967","108.6105074"
5,"王冠","20",463,507,"王冠日向翔陽ICO","98.11770302","93.1407822","98.87585042","105.9954644","114.3508457"
32,"ユニフォーム","1",475,469,"山口忠ICO","93.72567674","100","103.3724488","100","97.12983085"
6,"ジャージ","28",462,509,"ジャージ日向翔陽ICO","97.4902707","93.1407822","98.87585042","108.2437636","113.7768119"
7,"遊園地","33",463,510,"遊園地日向翔陽ICO","97.4902707","93.59806339","98.87585042","106.7448975","115.4989134"
38,"ユニフォーム","1",470,479,"西谷夕ICO","98.11770302","97.25631288","105.6207479","111.9909289","93.68562787"
8,"ハロウィン","42",467,514,"ハロウィン日向翔陽ICO","98.74513535","94.05534458","100","108.2437636","116.6469811"
9,"和装体験","46",469,513,"和装体験日向翔陽ICO","100","94.05534458","100","108.2437636","116.0729472"
45,"ユニフォーム","1",469,463,"田中龍之介ICO","100.6274323","94.51262576","97.75170083","96.25283472","96.55579702"
10,"格ゲー","48",471,520,"格ゲー日向翔陽ICO","99.37256767","94.96990695","101.1241496","109.7426297","118.9431164"
12,"制服","2",508,469,"制服影山飛雄ICO","102.5097293","105.9446554","119.1105429","100","97.12983085"
13,"夏祭り","5",510,467,"夏祭り影山飛雄ICO","101.2548647","107.7737802","119.1105429","101.4988661","94.83369553"
14,"Xmas","10",516,471,"Xmas影山飛雄ICO","103.1371616","107.7737802","122.4829917","100","98.27789851"
39,"制服","2",476,487,"制服西谷夕ICO","98.74513535","98.17087525","108.9931967","116.4875272","94.83369553"
15,"1周年","13",515,472,"1周年影山飛雄ICO","104.3920263","106.8592178","121.3588421","100","98.85193234"
16,"王冠","20",513,475,"王冠影山飛雄ICO","103.1371616","107.316499","120.2346925","103.7471653","97.70386468"
46,"制服","2",477,469,"制服田中龍之介ICO","102.5097293","96.34175051","98.87585042","97.75170083","98.85193234"
17,"ジャージ","28",522,475,"ジャージ影山飛雄ICO","103.764594","109.1456237","124.7312908","101.4988661","99.42596617"
18,"2周年","32",522,477,"2周年影山飛雄ICO","103.764594","109.6029049","123.6071413","102.9977322","99.42596617"
19,"中学生","35",522,477,"中学生影山飛雄ICO","105.0194586","108.6883425","123.6071413","101.4988661","100.5740338"
20,"文化祭3","43",528,479,"文化祭3影山飛雄ICO","104.3920263","110.5174673","126.97959","102.9977322","100.5740338"
21,"格ゲー","48",528,481,"格ゲー影山飛雄ICO","104.3920263","111.4320297","124.7312908","104.4965983","100.5740338"
25,"1周年","13",470,483,"1周年月島蛍ICO","98.11770302","96.79903169","97.75170083","93.2551025","110.3326089"
23,"水着","4",472,480,"水着月島蛍ICO","96.86283837","98.62815644","97.75170083","95.50340167","106.888406"
24,"職業体験","7",478,474,"職業体験月島蛍ICO","98.74513535","100","97.75170083","93.2551025","105.1663045"
33,"水着","4",483,475,"水着山口忠ICO","94.35310907","102.7436871","104.4965983","101.4988661","99.42596617"
26,"花火","21",475,487,"花火月島蛍ICO","98.11770302","98.62815644","98.87585042","97.00226778","109.7585751"
27,"ジャージ","28",478,485,"ジャージ月島蛍ICO","98.74513535","98.62815644","101.1241496","97.00226778","108.6105074"
28,"2周年","32",479,493,"2周年月島蛍ICO","98.74513535","99.5427188","100","98.50113389","112.0547104"
29,"アート2","37",481,493,"アート2月島蛍ICO","100","99.5427188","100","100","110.9066428"
30,"焼き芋","41",483,499,"焼き芋月島蛍ICO","99.37256767","100.4572812","101.1241496","100","114.3508457"
31,"寝正月","45",485,497,"寝正月月島蛍ICO","100.6274323","100.4572812","101.1241496","100","113.2027781"
36,"ジャージ","28",487,482,"ジャージ山口忠ICO","96.23540605","102.7436871","105.6207479","104.4965983","101.1480677"
34,"雪遊び","12",482,476,"雪遊び山口忠ICO","93.09824442","104.5728119","101.1241496","103.7471653","98.27789851"
44,"ハロウィン","42",488,505,"ハロウィン西谷夕ICO","100.6274323","100.4572812","113.489795","126.2301569","97.70386468"
35,"スパイ","23",489,479,"スパイ山口忠ICO","94.9805414","105.0300931","104.4965983","103.7471653","100"
37,"焼き芋","41",495,483,"焼き芋山口忠ICO","95.60797372","106.8592178","105.6207479","105.2460314","101.1480677"
40,"Xmas","10",480,493,"Xmas西谷夕ICO","99.37256767","98.62815644","111.2414958","120.2346925","95.40772936"
47,"新年","11",474,472,"新年田中龍之介ICO","104.3920263","93.59806339","98.87585042","97.75170083","100.5740338"
