No.,服装,服装順.ID,攻撃力,守備力,DispName,Q_RZS.AttackVal,Q_RZS.ServeVal,Q_RZS.TossVal,Q_RZS.ReceiveVal,Q_RZS.BlockVal
235,"ユニフォーム","1",497,472,"牛島若利ICO","106.131725","106.2952377","98.87585042","99.25056694","99.3868275"
236,"水着","2",505,478,"水着牛島若利ICO","107.9712425","108.093877","100","100.7494331","101.8395175"
237,"新年","2",511,472,"新年牛島若利ICO","109.81076","109.4428565","100","98.50113389","100"
238,"制服","2",512,481,"制服牛島若利ICO","109.1975875","110.3421762","100","102.2482992","102.45269"
239,"文化祭2","2",511,482,"文化祭2牛島若利ICO","109.81076","108.9931967","101.1241496","100.7494331","104.2922075"
240,"妖","2",518,486,"妖牛島若利ICO","109.81076","112.1408155","101.1241496","104.4965983","103.679035"
241,"ハロウィン","2",516,488,"ハロウィン牛島若利ICO","111.037105","109.8925163","102.2482992","102.2482992","106.7448975"
242,"Xmas3","2",524,490,"Xmas3牛島若利ICO","110.4239325","113.9394548","102.2482992","105.9954644","104.90538"
243,"ユニフォーム","1",477,474,"天童覚ICO","99.3868275","99.10068033","97.75170083","96.25283472","103.0658625"
244,"水着","2",483,482,"水着天童覚ICO","101.226345","100","98.87585042","97.75170083","106.7448975"
245,"文化祭","2",480,485,"文化祭天童覚ICO","101.8395175","98.20136067","98.87585042","97.00226778","109.1975875"
246,"制服","2",486,480,"制服天童覚ICO","103.0658625","99.10068033","101.1241496","94.75396861","107.9712425"
247,"仮装","2",486,489,"仮装天童覚ICO","102.45269","100","100","99.25056694","109.81076"
248,"遊園地","2",486,490,"遊園地天童覚ICO","102.45269","100.4496598","98.87585042","99.25056694","110.4239325"
249,"Xmas3","2",491,494,"Xmas3天童覚ICO","103.679035","100.8993197","101.1241496","100.7494331","111.6502775"
250,"ユニフォーム","1",484,478,"五色工ICO","101.8395175","101.7986393","103.3724488","101.4988661","101.226345"
251,"職業体験","2",492,484,"職業体験五色工ICO","103.679035","103.5972787","104.4965983","102.9977322","103.679035"
252,"制服","2",497,480,"制服五色工ICO","104.90538","105.8455778","102.2482992","102.9977322","101.226345"
253,"バカンス","2",489,489,"バカンス五色工ICO","105.5185525","101.7986393","102.2482992","103.7471653","106.131725"
254,"Xmas2","2",495,491,"Xmas2五色工ICO","104.90538","103.5972787","105.6207479","104.4965983","106.7448975"
255,"サバゲ2","2",497,490,"サバゲ2五色工ICO","103.679035","105.395918","105.6207479","106.7448975","104.2922075"
256,"ユニフォーム","1",489,468,"白布賢二郎ICO","99.3868275","101.7986393","113.489795","98.50113389","97.54731"
257,"探偵","2",499,472,"探偵白布賢二郎ICO","100","104.4965983","116.8622438","100","98.773655"
258,"制服","2",504,468,"制服白布賢二郎ICO","98.773655","106.7448975","119.1105429","100","96.320965"
259,"バカンス","2",494,477,"バカンス白布賢二郎ICO","97.54731","102.697959","120.2346925","102.2482992","100"
260,"路地裏2","2",507,474,"路地裏2白布賢二郎ICO","100.6131725","106.2952377","120.2346925","101.4988661","98.773655"
261,"文化祭3","2",506,477,"文化祭3白布賢二郎ICO","100.6131725","107.1945573","116.8622438","102.9977322","99.3868275"
262,"ユニフォーム","1",484,478,"大平獅音ICO","99.3868275","100","103.3724488","101.4988661","101.226345"
263,"ユニフォーム","1",477,470,"川西太一ICO","101.8395175","100.8993197","97.75170083","96.25283472","100.6131725"
264,"路地裏","2",483,478,"路地裏川西太一ICO","103.679035","101.7986393","98.87585042","97.75170083","104.2922075"
265,"寝正月","2",480,482,"寝正月川西太一ICO","104.2922075","100","98.87585042","97.00226778","107.35807"
266,"ユニフォーム","1",479,469,"瀬見英太ICO","98.1604825","100.8993197","106.7448975","98.50113389","98.1604825"
267,"雪遊び","2",489,473,"雪遊び瀬見英太ICO","98.773655","103.5972787","110.1173463","100","99.3868275"
268,"バカンス","2",492,471,"バカンス瀬見英太ICO","97.54731","105.8455778","110.1173463","101.4988661","96.9341375"
269,"アート2","2",489,475,"アート2瀬見英太ICO","99.3868275","101.7986393","113.489795","102.9977322","98.1604825"
270,"文化祭3","2",497,475,"文化祭3瀬見英太ICO","99.3868275","105.8455778","112.3656454","101.4988661","99.3868275"
271,"ユニフォーム","1",456,470,"山形隼人ICO","95.09462","95.9530615","98.87585042","102.9977322","95.09462"
