No.,服装,服装順.ID,攻撃力,守備力,DispName,Q_RZS.AttackVal,Q_RZS.ServeVal,Q_RZS.TossVal,Q_RZS.ReceiveVal,Q_RZS.BlockVal
293,"ユニフォーム","1",506,465,"宮侑ICO","100","107.9078109","116.8622438","100","94.4814475"
294,"文化祭","2",516,469,"文化祭宮侑ICO","100.6744898","110.6988029","120.2346925","101.4988661","95.7077925"
295,"RPG","2",516,469,"RPG宮侑ICO","99.32551025","112.094299","119.1105429","103.7471653","93.868275"
296,"カンフー","2",512,475,"カンフー宮侑ICO","102.0234693","108.8381416","117.9863933","102.2482992","98.773655"
297,"新年2","2",524,471,"新年2宮侑ICO","101.3489795","112.5594643","123.6071413","102.9977322","95.7077925"
298,"サバゲ2","2",523,473,"サバゲ2宮侑ICO","101.3489795","113.489795","120.2346925","103.7471653","96.320965"
299,"制服","2",530,475,"制服宮侑ICO","102.0234693","113.9549603","125.8554404","104.4965983","96.9341375"
300,"3周年","2",536,479,"3周年宮侑ICO","102.697959","115.3504564","128.1037396","105.9954644","98.1604825"
301,"ユニフォーム","1",484,483,"宮治ICO","104.7214283","100.9303307","101.1241496","100.7494331","104.90538"
302,"RPG","2",492,489,"RPG宮治ICO","106.7448975","102.7909921","102.2482992","102.2482992","107.35807"
303,"カンフー","2",492,491,"カンフー宮治ICO","107.4193873","100.9303307","105.6207479","105.2460314","106.131725"
304,"遊園地","2",490,494,"遊園地宮治ICO","108.7683668","100.9303307","101.1241496","102.9977322","109.81076"
305,"夏祭り2","2",497,496,"夏祭り2宮治ICO","109.4428565","103.2561574","102.2482992","105.2460314","109.1975875"
306,"制服","2",500,495,"制服宮治ICO","107.4193873","106.0471495","102.2482992","105.9954644","107.9712425"
307,"3周年","2",502,501,"3周年宮治ICO","110.791836","104.1864881","103.3724488","106.7448975","111.037105"
308,"ユニフォーム","1",477,476,"角名倫太郎ICO","104.0469385","100","96.62755125","95.50340167","104.90538"
309,"サバゲ","2",483,484,"サバゲ角名倫太郎ICO","106.0704078","100.9303307","97.75170083","97.00226778","108.584415"
310,"花火","2",479,489,"花火角名倫太郎ICO","107.4193873","99.06966931","95.50340167","97.00226778","111.6502775"
311,"路地裏2","2",491,478,"路地裏2角名倫太郎ICO","108.093877","103.2561574","97.75170083","94.00453556","107.35807"
312,"水着2","2",486,491,"水着2角名倫太郎ICO","107.4193873","100.9303307","98.87585042","98.50113389","111.6502775"
313,"制服","2",490,489,"制服角名倫太郎ICO","106.7448975","103.7213228","97.75170083","100","109.1975875"
314,"寝正月","2",490,497,"寝正月角名倫太郎ICO","108.093877","101.8606614","100","100","114.1029675"
315,"ユニフォーム","1",478,480,"北信介ICO","100.6744898","97.67417328","100","103.7471653","100.6131725"
316,"Xmas","2",486,486,"Xmas北信介ICO","102.697959","99.5348347","101.1241496","105.2460314","103.0658625"
317,"スパイ","2",489,484,"スパイ北信介ICO","102.697959","101.8606614","98.87585042","106.7448975","100.6131725"
318,"新年2","2",484,490,"新年2北信介ICO","104.7214283","97.67417328","100","108.2437636","103.0658625"
319,"職業体験2","2",490,492,"職業体験2北信介ICO","104.7214283","99.5348347","102.2482992","106.7448975","105.5185525"
320,"制服","2",493,491,"制服北信介ICO","103.3724488","102.3258267","101.1241496","108.2437636","103.679035"
321,"和装体験","2",495,497,"和装体験北信介ICO","106.0704078","100.4651653","103.3724488","108.2437636","107.35807"
322,"ユニフォーム","1",479,467,"尾白アランICO","104.7214283","100","97.75170083","94.75396861","100"
323,"雪遊び","2",487,473,"雪遊び尾白アランICO","106.7448975","101.8606614","98.87585042","96.25283472","102.45269"
324,"夏祭り2","2",490,471,"夏祭り2尾白アランICO","106.7448975","104.1864881","96.62755125","97.75170083","100"
325,"ユニフォーム","1",464,474,"赤木路成ICO","97.302041","96.74384259","101.1241496","106.7448975","94.4814475"
326,"Xmas2","2",470,482,"Xmas2赤木路成ICO","97.97653075","97.67417328","104.4965983","111.2414958","95.7077925"
327,"ユニフォーム","1",466,476,"大耳練ICO","95.9530615","95.8135119","98.87585042","96.25283472","104.2922075"
328,"和装体験","2",472,484,"和装体験大耳練ICO","97.97653075","96.74384259","100","97.75170083","107.9712425"
329,"ユニフォーム","1",474,465,"理石平介ICO","97.97653075","99.06966931","96.62755125","96.25283472","97.54731"
330,"ユニフォーム","1",470,469,"銀島結ICO","101.3489795","98.13933862","97.75170083","98.50113389","98.1604825"
331,"Xmas2","2",478,475,"Xmas2銀島結ICO","103.3724488","100","98.87585042","100","100.6131725"
