No.,服装,攻撃力,守備力,服装順.ID,DispName,Q_RZS.AttackVal,Q_RZS.ServeVal,Q_RZS.TossVal,Q_RZS.ReceiveVal,Q_RZS.BlockVal
72,"ユニフォーム",484,458,"1","孤爪研磨ICO","95.7077925","102.2482992","113.489795","96.62755125","93.2551025"
73,"制服",494,462,"2","制服孤爪研磨ICO","96.320965","104.9462582","116.8622438","98.12641736","94.4814475"
74,"夏祭り",494,462,"2","夏祭り孤爪研磨ICO","95.09462","104.9462582","119.1105429","101.1241496","92.0287575"
75,"1周年",502,464,"2","1周年孤爪研磨ICO","96.9341375","106.7448975","120.2346925","98.12641736","95.7077925"
76,"スパイ",501,466,"2","スパイ孤爪研磨ICO","96.9341375","107.1945573","117.9863933","101.1241496","94.4814475"
77,"Xmas2",508,468,"2","Xmas2孤爪研磨ICO","97.54731","108.093877","122.4829917","99.6252835","96.9341375"
78,"中学生",506,471,"2","中学生孤爪研磨ICO","97.54731","107.6442172","121.3588421","100.3747165","98.1604825"
79,"ハロウィン",507,471,"2","ハロウィン孤爪研磨ICO","97.54731","108.9931967","119.1105429","103.3724488","95.7077925"
80,"寝正月",513,473,"2","寝正月孤爪研磨ICO","98.1604825","108.9931967","124.7312908","101.8735826","98.1604825"
81,"ユニフォーム",480,477,"1","黒尾鉄朗ICO","103.679035","100.4496598","98.87585042","96.62755125","104.90538"
82,"制服",486,485,"2","制服黒尾鉄朗ICO","105.5185525","101.3489795","100","98.12641736","108.584415"
83,"夏祭り",494,477,"2","夏祭り黒尾鉄朗ICO","106.7448975","104.0469385","100","96.62755125","104.90538"
84,"1周年",486,485,"2","1周年黒尾鉄朗ICO","107.35807","100","100","101.8735826","105.5185525"
85,"キャンプ",489,492,"2","キャンプ黒尾鉄朗ICO","106.7448975","101.3489795","101.1241496","99.6252835","111.6502775"
86,"文化祭2",490,492,"2","文化祭2黒尾鉄朗ICO","107.35807","101.3489795","101.1241496","101.1241496","110.4239325"
87,"中学生",493,496,"2","中学生黒尾鉄朗ICO","107.35807","102.2482992","102.2482992","101.1241496","112.8766225"
88,"ハロウィン",495,497,"2","ハロウィン黒尾鉄朗ICO","108.584415","102.2482992","102.2482992","102.6230157","112.26345"
89,"ユニフォーム",462,468,"1","灰羽リエーフICO","95.7077925","95.05374183","97.75170083","95.12868514","100.6131725"
90,"探偵",468,476,"2","探偵灰羽リエーフICO","97.54731","95.9530615","98.87585042","96.62755125","104.2922075"
91,"路地裏",467,478,"2","路地裏灰羽リエーフICO","99.3868275","94.15442217","98.87585042","95.12868514","106.7448975"
92,"文化祭2",462,485,"2","文化祭2灰羽リエーフICO","98.1604825","93.70476233","96.62755125","98.87585042","107.9712425"
93,"サバゲ2",472,483,"2","サバゲ2灰羽リエーフICO","99.3868275","95.9530615","100","98.87585042","106.7448975"
94,"ユニフォーム",469,478,"1","夜久衛輔ICO","98.773655","98.20136067","101.1241496","111.6162124","93.2551025"
95,"1周年",475,486,"2","1周年夜久衛輔ICO","99.3868275","99.10068033","104.4965983","116.1128107","94.4814475"
96,"花火",471,491,"2","花火夜久衛輔ICO","98.1604825","97.75170083","105.6207479","119.859976","94.4814475"
97,"2周年",479,492,"2","2周年夜久衛輔ICO","100","100","105.6207479","119.1105429","95.7077925"
98,"水着2",479,493,"2","水着2夜久衛輔ICO","99.3868275","100","106.7448975","119.859976","95.7077925"
99,"Xmas3",483,498,"2","Xmas3夜久衛輔ICO","100.6131725","100.8993197","106.7448975","122.1082751","96.9341375"
100,"ユニフォーム",459,461,"1","福永招平ICO","95.7077925","93.2551025","98.87585042","95.87811819","95.7077925"
101,"バーガー",467,467,"2","バーガー福永招平ICO","97.54731","95.05374183","100","97.37698431","98.1604825"
102,"アート2",466,469,"2","アート2福永招平ICO","99.3868275","93.2551025","100","95.87811819","100.6131725"
103,"ユニフォーム",460,467,"1","犬岡走ICO","94.4814475","95.05374183","97.75170083","95.12868514","100"
104,"新年",466,475,"2","新年犬岡走ICO","96.320965","95.9530615","98.87585042","96.62755125","103.679035"
105,"ユニフォーム",479,461,"1","山本猛虎ICO","101.8395175","101.3489795","98.87585042","95.87811819","95.7077925"
106,"新年",486,467,"2","新年山本猛虎ICO","103.679035","102.697959","100","97.37698431","98.1604825"
107,"ユニフォーム",458,472,"1","芝山優生ICO","94.4814475","94.15442217","97.75170083","104.8713149","95.09462"
108,"焼き芋",464,480,"2","焼き芋芝山優生ICO","95.09462","95.05374183","101.1241496","109.3679132","96.320965"
109,"ユニフォーム",481,466,"1","海信之ICO","102.45269","101.7986393","98.87585042","98.12641736","96.9341375"
110,"遊園地",489,472,"2","遊園地海信之ICO","104.2922075","103.5972787","100","99.6252835","99.3868275"
112,"ユニフォーム",474,460,"1","手白球彦ICO","93.2551025","99.10068033","105.6207479","97.37698431","93.868275"
