No.,服装,服装順.ID,攻撃力,守備力,DispName,Q_RZS.AttackVal,Q_RZS.ServeVal,Q_RZS.TossVal,Q_RZS.ReceiveVal,Q_RZS.BlockVal
376,"ユニフォーム","1",491,483,"星海光来ICO","106.131725","103.2561574","100","101.4988661","104.1055898"
377,"文化祭","8",499,489,"文化祭星海光来ICO","107.9712425","105.1168188","101.1241496","102.9977322","106.4516411"
378,"サバゲ","14",500,489,"サバゲ星海光来ICO","107.35807","106.5123148","100","105.2460314","104.6921026"
379,"花火","21",493,497,"花火星海光来ICO","107.9712425","102.7909921","100","105.2460314","109.3842052"
380,"新年2","30",498,493,"新年2星海光来ICO","109.81076","103.2561574","101.1241496","102.9977322","108.7976924"
381,"格ゲー","48",506,493,"格ゲー星海光来ICO","108.584415","107.9078109","101.1241496","105.2460314","107.0381539"
382,"ユニフォーム","1",480,478,"昼神幸郎ICO","103.0658625","101.8606614","96.62755125","96.25283472","105.2786154"
383,"Xmas","10",486,486,"Xmas昼神幸郎ICO","104.90538","102.7909921","97.75170083","97.75170083","108.7976924"
384,"職業体験2","36",483,491,"職業体験2昼神幸郎ICO","105.5185525","100.9303307","97.75170083","97.00226778","112.3167693"
385,"寝正月","45",487,494,"寝正月昼神幸郎ICO","105.5185525","102.7909921","97.75170083","100","111.7302565"
